County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,,,,,,,,,,
Anderson,40,0,9,13,17,1,,,,,,,,,,
Andrews,3,0,2,1,0,0,,,,,,,,,,
Angelina,97,1,27,26,42,1,,,,,,,,,,
Aransas,23,1,2,20,0,0,,,,,,,,,,
Archer,1,0,0,1,0,0,,,,,,,,,,
Armstrong,0,0,0,0,0,0,,,,,,,,,,
Atascosa,75,0,49,25,0,1,,,,,,,,,,
Austin,25,0,8,12,5,0,,,,,,,,,,
Bailey,4,0,2,1,1,0,,,,,,,,,,
Bandera,16,0,2,14,0,0,,,,,,,,,,
Bastrop,143,1,64,51,21,6,,,,,,,,,,
Baylor,1,0,0,0,1,0,,,,,,,,,,
Bee,44,0,26,15,3,0,,,,,,,,,,
Bell,893,33,188,242,378,52,,,,,,,,,,
Bexar,"5,180",168,"2,937","1,323",676,76,,,,,,,,,,
Blanco,17,0,5,12,0,0,,,,,,,,,,
Borden,0,0,0,0,0,0,,,,,,,,,,
Bosque,7,0,3,4,0,0,,,,,,,,,,
Bowie,99,2,7,26,62,2,,,,,,,,,,
Brazoria,620,24,165,199,224,8,,,,,,,,,,
Brazos,330,16,85,131,95,3,,,,,,,,,,
Brewster,4,0,0,4,0,0,,,,,,,,,,
Briscoe,1,0,1,0,0,0,,,,,,,,,,
Brooks,5,0,4,1,0,0,,,,,,,,,,
Brown,17,0,5,9,3,0,,,,,,,,,,
Burleson,17,0,2,8,7,0,,,,,,,,,,
Burnet,57,0,22,29,1,5,,,,,,,,,,
Caldwell,85,1,52,25,4,3,,,,,,,,,,
Calhoun,14,0,9,4,1,0,,,,,,,,,,
Callahan,4,0,2,2,0,0,,,,,,,,,,
Cameron,417,4,327,82,2,2,,,,,,,,,,
Camp,19,0,3,8,8,0,,,,,,,,,,
Carson,1,0,0,0,1,0,,,,,,,,,,
Cass,17,0,0,8,9,0,,,,,,,,,,
Castro,0,0,0,0,0,0,,,,,,,,,,
Chambers,57,2,20,25,10,0,,,,,,,,,,
Cherokee,40,0,16,7,14,3,,,,,,,,,,
Childress,1,0,0,0,0,1,,,,,,,,,,
Clay,2,1,0,1,0,0,,,,,,,,,,
Cochran,1,0,1,0,0,0,,,,,,,,,,
