County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,Total Population,Under 15 Years,15 to 19 Years,20 to 24 Years,25 to 29 Years,30 to 34 Years,35 to 39 Years,40+ Years
Anderson,40,0.0,9,13,17,1.0,40,0,5,9,12,11,3,0
Andrews,3,0.0,2,1,0,0.0,3,0,1,1,0,1,0,0
Angelina,97,1.0,27,26,42,1.0,97,0,12,27,35,14,7,2
Aransas,23,1.0,2,20,0,0.0,23,0,2,7,7,4,2,1
Archer,1,0.0,0,1,0,0.0,1,0,0,0,1,0,0,0
Armstrong,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Atascosa,75,0.0,49,25,0,1.0,75,0,7,21,30,13,3,1
Austin,25,0.0,8,12,5,0.0,25,0,2,11,5,3,3,1
Bailey,4,0.0,2,1,1,0.0,4,0,0,1,1,1,1,0
Bandera,16,0.0,2,14,0,0.0,16,0,1,5,4,4,2,0
Bastrop,143,1.0,64,51,21,6.0,143,0,16,46,28,29,19,5
Baylor,1,0.0,0,0,1,0.0,1,0,0,1,0,0,0,0
Bee,44,0.0,26,15,3,0.0,44,1,3,15,14,5,4,2
Bell,893,33.0,188,242,378,52.0,893,3,73,280,274,165,78,20
Bexar,"5,180",168.0,"2,937","1,323",676,76.0,"5,180",13,434,"1,633","1,493",943,483,181
Blanco,17,0.0,5,12,0,0.0,17,0,0,5,5,4,3,0
Borden,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Bosque,7,0.0,3,4,0,0.0,7,1,1,1,0,4,0,0
Bowie,99,2.0,7,26,62,2.0,99,3,7,26,33,21,7,2
Brazoria,620,24.0,165,199,224,8.0,620,1,58,162,174,127,73,25
Brazos,330,16.0,85,131,95,3.0,330,1,26,161,81,29,28,4
Brewster,4,0.0,0,4,0,0.0,4,0,0,2,1,0,1,0
Briscoe,1,0.0,1,0,0,0.0,1,0,1,0,0,0,0,0
Brooks,5,0.0,4,1,0,0.0,5,0,0,2,3,0,0,0
Brown,17,0.0,5,9,3,0.0,17,0,2,7,4,3,1,0
Burleson,17,0.0,2,8,7,0.0,17,1,0,6,7,1,0,2
Burnet,57,0.0,22,29,1,5.0,57,0,5,14,20,10,5,3
Caldwell,85,1.0,52,25,4,3.0,85,0,13,28,15,14,10,5
Calhoun,14,0.0,9,4,1,0.0,14,0,2,5,2,1,2,2
Callahan,4,0.0,2,2,0,0.0,4,0,0,1,1,1,0,1
Cameron,417,4.0,327,82,2,2.0,417,0,57,152,104,60,34,10
Camp,19,0.0,3,8,8,0.0,19,0,0,7,10,0,2,0
Carson,1,0.0,0,0,1,0.0,1,0,1,0,0,0,0,0
Cass,17,0.0,0,8,9,0.0,17,0,5,6,4,1,0,1
Castro,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Chambers,57,2.0,20,25,10,0.0,57,0,6,19,18,7,4,3
Cherokee,40,0.0,16,7,14,3.0,40,1,2,18,11,5,3,0
Childress,1,0.0,0,0,0,1.0,1,0,0,1,0,0,0,0
Clay,2,1.0,0,1,0,0.0,2,0,0,2,0,0,0,0
Cochran,1,0.0,1,0,0,0.0,1,0,0,0,1,0,0,0
Coke,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Coleman,3,0.0,1,2,0,0.0,3,0,0,1,0,2,0,0
Collin,"1,447",264.0,256,440,448,39.0,"1,447",2,82,333,392,332,219,87
Collingsworth,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
