County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
ANDERSON,1,2197,801,716,749,779,804,8638,646,224,192,218,219,195,1483,19,7,10,14,10,12,68,247,53,49,51,22,14,205,1030,316,308,269,225,188,1189
ANDREWS,3,597,177,141,206,229,252,1541,30,5,16,5,5,3,28,6,0,1,5,2,3,23,24,13,11,8,5,7,50,1671,547,423,421,404,424,1720
ANGELINA,5,3909,1446,1338,1496,1577,1437,14877,1336,483,496,520,508,403,3040,56,22,33,30,29,38,255,269,70,74,53,42,36,212,2794,967,868,720,639,619,3067
ARANSAS,7,759,308,268,339,323,343,5792,14,3,4,5,5,7,59,31,14,11,14,8,13,142,50,12,17,14,8,12,128,771,264,245,230,225,205,1587
ARCHER,9,564,192,173,166,216,202,2178,7,2,3,0,1,0,11,2,0,0,0,0,0,10,31,13,7,10,6,5,49,115,52,40,29,31,28,151
ARMSTRONG,11,131,46,44,51,38,53,505,0,0,1,1,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,3,9,11,5,6,7,1,2,25
ATASCOSA,13,1253,488,390,452,464,476,4657,20,11,8,15,7,7,39,15,1,3,7,4,3,39,78,17,15,18,9,13,117,3720,1266,1135,1037,1032,1069,6601
AUSTIN,15,1205,446,385,452,434,456,5883,259,95,99,101,77,75,694,12,7,3,5,2,5,36,92,28,23,15,5,10,106,1180,361,338,310,290,281,1365
BAILEY,17,171,62,41,43,40,65,643,12,5,0,0,2,0,11,0,0,0,0,0,3,0,21,6,2,7,3,5,28,563,229,187,147,155,139,791
BANDERA,19,873,311,257,308,317,331,5941,15,1,4,2,0,3,33,1,0,2,0,1,1,21,53,12,15,12,10,9,129,403,164,120,124,109,124,1123
BASTROP,21,3255,1196,1130,1315,1419,1487,16165,603,206,204,193,180,186,1718,37,20,15,13,17,35,181,338,97,75,67,58,34,430,5544,2015,1447,1313,1191,1241,6102
BAYLOR,23,207,78,53,71,90,84,872,4,0,3,0,0,0,13,0,0,0,0,0,0,0,17,3,3,0,0,1,22,65,18,16,14,13,14,97
BEE,25,463,184,133,161,197,188,2031,40,22,14,11,13,11,88,7,2,2,7,5,4,46,47,7,13,13,4,7,80,1900,702,601,561,533,540,3281
BELL,27,13603,4438,5379,6177,6118,5230,40335,8624,2964,3208,4006,3284,2919,14745,883,284,378,502,473,438,3718,3524,876,875,801,700,584,2153,13489,3965,4378,4217,3727,3840,15106
BEXAR,29,36984,13148,15373,18525,19553,18365,144728,13175,4867,5800,6376,5634,5562,31432,4576,1621,2111,2816,2873,2799,14442,7338,1990,2014,2039,1712,1548,6286,134545,47482,48022,49049,46636,45329,252684
BLANCO,31,494,209,171,189,183,174,3273,2,2,0,2,2,4,10,2,1,5,3,1,1,21,18,6,9,2,4,7,42,230,84,66,58,70,90,491
BORDEN,33,36,21,10,11,10,16,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,2,2,1,3,18
BOSQUE,35,893,357,257,304,331,323,4582,38,3,11,9,6,10,76,3,4,2,0,0,3,14,59,21,13,17,9,7,110,421,154,152,99,118,161,656
