County,Region
Anderson,East Texas
Andrews,West Texas
Angelina,East Texas
Aransas,Gulf Coast
Archer,North Texas
Armstrong,Panhandle
Atascosa,South Texas
Austin,Central Texas
Bailey,Panhandle
Bandera,South Texas
Bastrop,Central Texas
Baylor,North Texas
Bee,South Texas
Bell,Central Texas
Bexar,South Texas
Blanco,Central Texas
Borden,West Texas
Bosque,Central Texas
Bowie,East Texas
Brazoria,Gulf Coast
Brazos,Central Texas
Brewster,West Texas
Briscoe,Panhandle
Brooks,South Texas
Brown,Central Texas
Burleson,Central Texas
Burnet,Central Texas
Caldwell,Central Texas
Calhoun,Gulf Coast
Callahan,West Texas
Cameron,South Texas
Camp,East Texas
Carson,Panhandle
Cass,Gulf Coast
Castro,East Texas
Chambers,Panhandle
Cherokee,North Texas
Childress,Panhandle
Clay,West Texas
Cochran,West Texas
Coke,West Texas
Coleman,North Texas
Collin,Panhandle
Collingsworth,Central Texas
Colorado,South Texas
Comal,Central Texas
Comanche,West Texas
Concho,North Texas
Cooke,Central Texas
Coryell,North Texas
Cottle,West Texas
Crane,West Texas
Crockett,Panhandle
Crosby,West Texas
Culberson,Panhandle
Dallam,North Texas
Dallas,West Texas
Dawson,Panhandle
DeWitt,Panhandle
Deaf Smith,Panhandle
Delta,North Texas
Denton,Central Texas
Dickens,South Texas
Dimmit,Central Texas
Donley,Panhandle
Duval,North Texas
Eastland,West Texas
Ector,East Texas
Edwards,North Texas
El Paso,Panhandle
Ellis,Gulf Coast
Erath,Panhandle
Falls,Central Texas
Fannin,West Texas
Fayette,South Texas
Fisher,South Texas
Floyd,South Texas
Foard,West Texas
Fort Bend,Central Texas
Franklin,West Texas
Freestone,Panhandle
Frio,Central Texas
Gaines,Gulf Coast
Galveston,East Texas
Garza,Panhandle
Gillespie,Panhandle
Glasscock,Central Texas
Goliad,West Texas
Gonzales,Central Texas
Gray,West Texas
Grayson,Central Texas
Gregg,East Texas
Grimes,Central Texas
Guadalupe,Central Texas
Hale,East Texas
Hall,North Texas
Hamilton,North Texas
Hansford,Central Texas
Hardeman,Panhandle
Hardin,Central Texas
Harris,Central Texas
Harrison,West Texas
Hartley,West Texas
Haskell,Gulf Coast
Hays,East Texas
Hemphill,Central Texas
Henderson,Central Texas
Hidalgo,North Texas
Hill,Panhandle
Hockley,Gulf Coast
Hood,North Texas
Hopkins,Central Texas
Houston,Central Texas
Howard,North Texas
Hudspeth,Central Texas
Hunt,North Texas
Hutchinson,Panhandle
Irion,Panhandle
Jack,North Texas
Jackson,North Texas
Jasper,West Texas
Jeff Davis,Panhandle
Jefferson,Panhandle
Jim Hogg,North Texas
Jim Wells,West Texas
Johnson,West Texas
Jones,Central Texas
Karnes,West Texas
Kaufman,North Texas
Kendall,North Texas
Kenedy,Panhandle
Kent,Panhandle
Kerr,North Texas
Kimble,East Texas
King,Panhandle
Kinney,South Texas
Kleberg,South Texas
Knox,North Texas
La Salle,South Texas
Lamar,North Texas
Lamb,Panhandle
Lampasas,Central Texas
Lavaca,Gulf Coast
Lee,Central Texas
Leon,East Texas
Liberty,Gulf Coast
Limestone,Central Texas
Lipscomb,Panhandle
Live Oak,South Texas
Llano,Central Texas
Loving,West Texas
Lubbock,Panhandle
Lynn,Panhandle
Madison,East Texas
Marion,East Texas
Martin,West Texas
Mason,Central Texas
Matagorda,Gulf Coast
Maverick,South Texas
McCulloch,Central Texas
McLennan,Central Texas
McMullen,South Texas
Medina,South Texas
Menard,Central Texas
Midland,West Texas
Milam,Central Texas
Mills,Central Texas
Mitchell,West Texas
Montague,North Texas
Montgomery,Gulf Coast
Moore,Panhandle
Morris,East Texas
Motley,Panhandle
Nacogdoches,East Texas
Navarro,North Texas
Newton,East Texas
Nolan,West Texas
Nueces,Gulf Coast
Ochiltree,Panhandle
Oldham,Panhandle
Orange,Gulf Coast
Palo Pinto,North Texas
Panola,East Texas
Parker,North Texas
Parmer,Panhandle
Pecos,West Texas
Polk,East Texas
Potter,Panhandle
Presidio,West Texas
Rains,Panhandle
Randall,North Texas
Reagan,West Texas
Real,Gulf Coast
Red River,North Texas
Reeves,North Texas
Refugio,East Texas
Roberts,East Texas
Robertson,East Texas
Rockwall,Gulf Coast
Runnels,Gulf Coast
Rusk,Central Texas
Sabine,West Texas
San Augustine,West Texas
San Jacinto,North Texas
San Patricio,Panhandle
San Saba,Panhandle
Schleicher,North Texas
Scurry,North Texas
Shackelford,Panhandle
Shelby,Panhandle
Sherman,North Texas
Smith,North Texas
Somervell,North Texas
Starr,West Texas
Stephens,North Texas
Sterling,East Texas
Stonewall,East Texas
Sutton,Panhandle
Swisher,West Texas
Tarrant,Central Texas
Taylor,East Texas
Terrell,East Texas
Terry,East Texas
Throckmorton,East Texas
Titus,East Texas
Tom Green,West Texas
Travis,West Texas
Trinity,West Texas
Tyler,Central Texas
Upshur,South Texas
Upton,Gulf Coast
Uvalde,Gulf Coast
Val Verde,North Texas
Van Zandt,East Texas
Victoria,Gulf Coast
Walker,Gulf Coast
Waller,Panhandle
Ward,Panhandle
Washington,Panhandle
Webb,South Texas
Wharton,South Texas
Wheeler,Panhandle
Wichita,North Texas
Wilbarger,North Texas
Willacy,South Texas
Williamson,Central Texas
Wilson,South Texas
Winkler,West Texas
Wise,North Texas
Wood,East Texas
Yoakum,Panhandle
Young,North Texas
Zapata,South Texas
Zavala,South Texas
